packetID,node,time
0,0,914
0,3,928
0,5,944
1,0,435
1,3,449
1,5,465
2,0,992
2,3,1006
2,5,1022
3,0,688
3,3,702
3,5,718
4,0,832
4,3,846
4,5,862
5,0,105
5,3,119
5,5,135
6,0,726
6,3,740
6,5,756
7,0,318
7,3,332
7,5,348
8,0,116
8,3,130
8,5,146
9,0,916
9,3,930
9,5,946
10,0,898
10,3,912
10,5,928
11,0,659
11,3,673
11,5,689
12,0,400
12,3,414
12,5,430
13,0,7
13,3,21
13,5,37
14,0,157
14,3,171
14,6,190
14,9,203
15,0,26
15,3,40
15,6,59
15,9,72
16,0,438
16,3,452
16,6,471
16,9,484
17,0,525
17,3,539
17,6,558
17,9,571
18,0,552
18,3,566
18,6,585
18,9,598
19,0,28
19,3,42
19,6,61
19,9,74
20,0,179
20,3,193
20,6,212
20,9,225
21,0,87
21,3,101
21,6,120
21,9,133
22,0,79
22,3,93
22,6,112
22,9,125
23,0,508
23,3,522
23,6,541
23,9,554
24,0,923
24,3,937
24,6,956
24,9,969
25,0,482
25,3,496
25,6,515
25,9,528
25,11,538
26,0,656
26,3,670
26,6,689
26,9,702
26,11,712
27,0,388
27,3,402
27,6,421
27,9,434
27,11,444
28,0,839
28,3,853
28,6,872
29,0,663
29,3,677
29,6,696
30,0,569
30,3,583
30,6,602
31,0,838
31,3,852
31,6,871
32,0,668
32,3,682
32,6,701
33,0,829
33,3,843
33,6,862
34,0,542
34,3,556
34,6,575
35,0,298
35,3,312
35,6,331
35,9,344
35,11,354
36,0,990
36,3,1004
36,6,1023
36,9,1036
36,11,1046
37,0,509
37,3,523
37,6,542
37,9,555
37,11,565
38,0,150
38,3,164
38,6,183
38,9,196
38,11,206
39,0,95
39,3,109
39,6,128
39,9,141
39,11,151
40,0,65
40,3,79
40,6,98
40,9,111
40,11,121
41,0,131
41,3,145
41,6,164
41,9,177
41,11,187
42,0,84
42,3,98
42,6,117
42,9,130
42,11,140
43,0,957
43,3,971
44,0,60
44,3,74
45,0,270
45,3,284
46,0,687
46,3,701
46,6,720
47,0,707
47,3,721
47,6,740
48,0,428
48,3,442
48,6,461
49,0,908
49,3,922
49,6,941
50,0,53
50,3,67
50,6,86
51,0,676
51,3,690
51,6,709
52,0,372
52,3,386
52,6,405
53,0,813
53,3,827
53,6,846
54,0,285
54,3,299
54,6,318
55,0,749
55,3,763
55,6,782
56,0,304
56,3,318
56,6,337
57,0,311
57,3,325
57,6,344
58,0,906
58,3,920
58,5,936
58,8,949
58,10,961
59,0,998
59,3,1012
59,5,1028
59,8,1041
59,10,1053
60,0,427
60,3,441
60,5,457
60,8,470
60,10,482
61,0,514
61,3,528
61,5,544
61,8,557
61,10,569
62,0,684
62,3,698
62,5,714
62,8,727
62,10,739
63,0,714
63,3,728
63,5,744
63,8,757
63,10,769
64,0,909
64,3,923
64,5,939
64,8,952
64,10,964
65,0,258
65,3,272
65,5,288
65,8,301
65,10,313
66,0,723
66,3,737
66,5,753
66,8,766
66,10,778
67,0,546
67,3,560
67,5,576
67,8,589
67,10,601
68,0,454
68,3,468
68,5,484
68,8,497
68,10,509
69,0,582
69,3,596
69,5,612
69,8,625
69,10,637
70,0,692
70,3,706
70,5,722
70,8,735
70,10,747
71,0,594
71,3,608
71,5,624
71,8,637
71,10,649
72,0,358
72,3,372
72,5,388
72,8,401
72,10,413
73,0,174
73,3,188
73,5,204
73,8,217
73,10,229
74,0,373
74,3,387
74,5,403
74,8,416
74,10,428
75,0,207
75,3,221
75,5,237
75,8,250
75,10,262
76,0,563
76,3,577
76,5,593
76,8,606
76,10,618
77,0,297
77,3,311
77,5,327
77,8,340
77,10,352
78,0,503
78,3,517
78,5,533
78,8,546
78,10,558
79,0,266
79,3,280
79,4,297
80,0,524
80,3,538
80,4,555
81,0,979
81,3,993
81,4,1010
82,0,263
82,3,277
82,4,294
83,0,498
83,3,512
83,4,529
84,0,526
84,3,540
84,4,557
85,0,468
85,3,482
85,4,499
86,0,481
86,3,495
86,4,512
87,0,187
87,3,201
87,4,218
88,0,798
88,3,812
88,4,829
89,0,715
89,3,729
89,4,746
90,0,952
90,3,966
90,4,983
91,0,459
91,3,473
91,4,490
92,0,796
92,3,810
92,4,827
93,0,557
93,3,571
93,4,588
94,0,932
94,3,946
94,4,963
95,0,125
95,3,139
95,5,155
96,0,986
96,3,1000
96,5,1016
97,0,11
97,3,25
97,5,41
98,0,556
98,3,570
98,5,586
99,0,9
99,3,23
99,5,39
100,0,264
100,3,278
100,5,294
101,0,577
101,3,591
101,5,607
102,0,114
102,3,128
102,5,144
103,0,888
103,3,902
103,5,918
104,0,675
104,3,689
104,5,705
105,0,5
105,3,19
105,5,35
106,0,429
106,3,443
106,5,459
107,0,872
107,3,886
107,5,902
108,0,227
108,3,241
108,5,257
109,0,575
109,3,589
109,5,605
110,0,461
110,3,475
110,5,491
111,0,328
111,3,342
111,5,358
112,0,240
112,3,254
112,5,270
113,0,980
113,3,994
113,5,1010
114,0,193
114,3,207
114,5,223
115,0,142
115,3,156
115,5,172
116,0,603
116,2,618
117,0,999
117,2,1014
118,0,265
118,2,280
119,0,47
119,3,61
119,5,77
120,0,693
120,3,707
120,5,723
121,0,930
121,1,945
122,0,527
122,3,541
123,0,478
123,3,492
124,0,853
124,3,867
125,0,859
125,3,873
126,0,83
126,3,97
127,0,55
127,3,69
128,0,315
128,3,329
129,0,686
129,3,700
130,0,10
130,3,24
131,0,590
131,3,604
132,0,935
132,3,949
133,0,417
133,3,431
134,0,833
134,3,847
134,6,866
134,9,879
135,0,800
135,3,814
135,6,833
135,9,846
136,0,884
136,3,898
136,6,917
136,9,930
137,0,593
137,2,608
137,7,631
138,0,122
138,2,137
138,7,160
139,0,831
139,2,846
139,7,869
140,0,934
140,2,949
140,7,972
141,0,507
141,2,522
141,7,545
142,0,801
142,2,816
142,7,839
143,0,591
143,2,606
143,7,629
144,0,950
144,2,965
144,7,988
145,0,982
145,2,997
145,7,1020
146,0,69
146,2,84
146,7,107
147,0,177
147,2,192
147,7,215
148,0,411
148,2,426
148,7,449
149,0,648
149,3,662
149,6,681
150,0,72
150,3,86
150,6,105
151,0,645
151,3,659
151,6,678
152,0,493
152,3,507
152,6,526
153,0,296
153,3,310
153,6,329
154,0,894
154,3,908
154,6,927
155,0,922
155,3,936
155,6,955
156,0,812
156,3,826
156,6,845
157,0,347
157,3,361
157,6,380
158,0,138
158,3,152
158,6,171
159,0,741
159,3,755
159,6,774
160,0,1
160,3,15
160,6,34
161,0,610
161,3,624
161,5,640
161,8,653
162,0,268
162,3,282
162,5,298
162,8,311
163,0,288
163,3,302
163,5,318
163,8,331
164,0,855
164,3,869
164,5,885
164,8,898
165,0,137
165,3,151
165,5,167
165,8,180
166,0,469
166,3,483
166,5,499
166,8,512
167,0,886
167,3,900
167,5,916
167,8,929
168,0,141
168,3,155
168,5,171
168,8,184
169,0,756
169,3,770
169,5,786
169,8,799
170,0,703
170,3,717
170,5,733
170,8,746
171,0,937
171,2,952
171,7,975
172,0,947
172,2,962
172,7,985
173,0,775
173,2,790
173,7,813
174,0,588
174,2,603
174,7,626
175,0,753
175,2,768
175,7,791
176,0,685
176,2,700
176,7,723
177,0,492
177,2,507
177,7,530
178,0,39
178,2,54
178,7,77
179,0,964
179,2,979
179,7,1002
180,0,224
180,2,239
180,7,262
181,0,993
181,3,1007
181,5,1023
182,0,1000
182,3,1014
182,5,1030
183,0,267
183,3,281
183,5,297
184,0,790
184,3,804
184,5,820
185,0,763
185,3,777
185,5,793
186,0,375
186,3,389
186,5,405
187,0,163
187,3,177
187,5,193
188,0,631
188,3,645
188,5,661
189,0,762
189,3,776
189,5,792
190,0,426
190,3,440
190,5,456
191,0,44
191,3,58
191,5,74
192,0,463
192,3,477
192,5,493
193,0,387
193,3,401
193,5,417
194,0,407
194,3,421
194,5,437
195,0,212
195,3,226
195,5,242
196,0,17
196,3,31
196,6,50
196,9,63
197,0,953
197,3,967
197,6,986
197,9,999
198,0,445
198,3,459
198,6,478
198,9,491
199,0,948
199,3,962
199,6,981
199,9,994
200,0,33
200,3,47
200,6,66
200,9,79
201,0,168
201,3,182
201,6,201
201,9,214
202,0,977
202,3,991
202,6,1010
202,9,1023
203,0,334
203,3,348
203,6,367
203,9,380
204,0,743
204,3,757
204,6,776
204,9,789
205,0,386
205,3,400
205,6,419
205,9,432
206,0,181
206,3,195
206,6,214
206,9,227
207,0,678
207,3,692
207,6,711
207,9,724
208,0,804
208,3,818
208,6,837
208,9,850
209,0,779
209,3,793
209,6,812
209,9,825
210,0,90
210,3,104
210,6,123
210,9,136
211,0,729
211,3,743
211,6,762
211,9,775
212,0,810
212,3,824
212,6,843
212,9,856
213,0,742
213,3,756
213,6,775
213,9,788
214,0,345
214,3,359
214,6,378
214,9,391
215,0,912
215,3,926
215,6,945
215,9,958
216,0,480
216,3,494
216,6,513
216,9,526
217,0,706
217,3,720
217,6,739
217,9,752
218,0,699
218,3,713
218,6,732
218,9,745
219,0,70
219,3,84
219,6,103
219,9,116
220,0,583
220,3,597
220,4,614
221,0,211
221,3,225
221,4,242
222,0,528
222,3,542
222,4,559
223,0,655
223,3,669
223,4,686
224,0,821
224,3,835
224,4,852
225,0,649
225,3,663
225,4,680
226,0,368
226,3,382
226,4,399
227,0,874
227,3,888
227,4,905
228,0,647
228,3,661
228,4,678
229,0,192
229,3,206
229,4,223
230,0,371
230,3,385
230,4,402
231,0,843
231,3,857
231,4,874
232,0,504
232,3,518
232,4,535
233,0,30
233,3,44
233,4,61
234,0,190
234,2,205
234,7,228
235,0,926
235,2,941
235,7,964
236,0,981
236,2,996
236,7,1019
237,0,355
237,2,370
237,7,393
238,0,273
238,2,288
238,7,311
239,0,106
239,2,121
239,7,144
240,0,900
240,1,915
241,0,697
241,1,712
242,0,799
242,1,814
243,0,46
243,1,61
244,0,287
244,1,302
245,0,410
245,1,425
246,0,739
246,1,754
247,0,364
247,1,379
248,0,576
248,1,591
249,0,134
249,1,149
250,0,189
250,1,204
251,0,153
251,1,168
252,0,171
252,1,186
253,0,442
253,1,457
254,0,404
254,1,419
255,0,97
255,1,112
256,0,547
256,1,562
257,0,973
257,1,988
258,0,415
258,1,430
259,0,847
259,1,862
260,0,81
260,3,95
260,4,112
261,0,722
261,3,736
261,4,753
262,0,512
262,3,526
262,4,543
263,0,77
263,3,91
263,4,108
264,0,536
264,3,550
264,4,567
265,0,705
265,3,719
265,4,736
266,0,293
266,3,307
266,4,324
267,0,82
267,3,96
267,4,113
268,0,286
268,3,300
268,4,317
269,0,184
269,3,198
269,4,215
270,0,667
270,3,681
270,4,698
271,0,222
271,3,236
271,6,255
271,9,268
271,11,278
272,0,446
272,3,460
272,6,479
272,9,492
272,11,502
273,0,208
273,3,222
273,6,241
273,9,254
273,11,264
274,0,664
274,3,678
274,6,697
274,9,710
274,11,720
275,0,129
275,3,143
275,6,162
275,9,175
275,11,185
276,0,96
276,3,110
276,5,126
277,0,6
277,3,20
277,5,36
278,0,302
278,3,316
278,5,332
279,0,425
279,3,439
279,5,455
280,0,198
280,3,212
280,5,228
281,0,353
281,3,367
281,5,383
282,0,113
282,3,127
282,5,143
283,0,139
283,3,153
283,5,169
284,0,773
284,3,787
284,5,803
285,0,883
285,3,897
285,5,913
286,0,852
286,3,866
286,5,882
287,0,412
287,3,426
287,5,442
288,0,50
288,3,64
288,5,80
289,0,814
289,3,828
289,5,844
290,0,824
290,3,838
290,5,854
291,0,901
291,3,915
291,5,931
